Resolution,Bytes,FinalQuality
2448,289995,0.9542646707233855
2295,287571,0.9539229293641327
2142,287729,0.9544429849702252
1989,272028,0.95122634349051
1836,241326,0.9453517464152875
1683,235118,0.9451535210555478
1530,237997,0.9455536750512118
1377,243278,0.9450052992596661
1224,247376,0.9455085701843625
1071,493703,0.9463009947005178
918,709790,0.9361720048513522
765,527798,0.9140613777011282
612,369199,0.8793605462466618
459,226709,0.8209683537967515
306,114744,0.7428165764971573
153,34195,0.6584136999849224
