Resolution,Bytes,FinalQuality
2448,128903,0.9541857871498184
2295,115809,0.9529106289291249
2142,104658,0.9542478563996698
1989,92804,0.9531126764430048
1836,82393,0.9539829931758301
1683,72931,0.9547521718742011
1530,63347,0.9545040631991905
1377,54950,0.9544089227766865
1224,46100,0.9540707782292469
1071,41016,0.9544265852201711
918,38008,0.9549741474482764
765,30064,0.9495969939395577
612,27351,0.9451945191151248
459,71550,0.9457829023465435
306,71330,0.9283024940567062
153,21342,0.8995313670462164
