Resolution,Bytes,FinalQuality
2448,143682,0.9527167023483303
2295,130264,0.9514246453522803
2142,118945,0.9537046624984419
1989,106400,0.9525491078801904
1836,95524,0.9540817514774933
1683,84082,0.9531909587795891
1530,74177,0.9538680911081581
1377,65260,0.9532917156501775
1224,57130,0.9549264758293475
1071,51239,0.9541188853698008
918,49171,0.9546173404273145
765,41436,0.9483401334466907
612,51625,0.9456661431558406
459,167836,0.9372899374976343
306,91481,0.9026921104064457
153,30645,0.8563571456050383
