Resolution,Bytes,FinalQuality
2448,208016,0.9524473547960681
2295,204997,0.9541125009454965
2142,199716,0.9549765296135156
1989,178321,0.9502686674437847
1836,154208,0.9450436328781638
1683,147996,0.9452321714036879
1530,139961,0.9454145568651646
1377,139259,0.9456176703632083
1224,137592,0.9458606130913517
1071,174576,0.9454572738363658
918,231683,0.9456089960397798
765,387727,0.9434554030635036
612,257298,0.9255382376151678
459,148064,0.9002460705348495
306,69911,0.8693614648779708
153,20086,0.8444314621354536
