Resolution,Bytes,FinalQuality
2448,121095,0.9541518329389178
2295,108793,0.9529932222225558
2142,96071,0.9519399723192545
1989,87133,0.9549730080552253
1836,75461,0.9541822290614232
1683,65721,0.9530417971465684
1530,56915,0.954237765485179
1377,49506,0.9539794284428839
1224,41836,0.9536214799932212
1071,36178,0.9546503394891057
918,31913,0.9548294618965402
765,29982,0.9549658033304717
612,24450,0.9466824132413277
459,45442,0.9455941104928354
306,77587,0.928462698806424
153,26268,0.8910325879726122
