Resolution,Bytes,FinalQuality
2448,163328,0.9547624944087301
2295,151764,0.9542574852688384
2142,138382,0.9542524614130993
1989,129952,0.9549848384589229
1836,116824,0.954356344516265
1683,107896,0.9543952716116705
1530,98239,0.9547462950120656
1377,91590,0.9545792344962272
1224,81858,0.954746384965677
1071,66374,0.9462604866889696
918,65474,0.9454031467415189
765,75593,0.9454089094594702
612,158298,0.9459441278199157
459,165339,0.9267915585436857
306,85325,0.8933903481176645
153,26626,0.8515404625403646
