Resolution,Bytes,FinalQuality
2448,167786,0.9500088802500508
2295,159360,0.9535562458214958
2142,148421,0.9548157941428173
1989,138730,0.9539765626719989
1836,124507,0.9534815277325376
1683,116684,0.9546508109052606
1530,109820,0.9548690508544478
1377,103888,0.9544081679979153
1224,90515,0.9520186829071846
1071,86056,0.9453744091486075
918,103358,0.9453023435500199
765,246640,0.9452656985263921
612,257866,0.9239806787596716
459,162518,0.8843532427889367
306,86425,0.8271946176687744
153,26437,0.7562949955663772
