Resolution,Bytes,FinalQuality
2448,290152,0.9536529579015058
2295,295416,0.9541745933815075
2142,302534,0.9549233355309933
1989,309902,0.9547858498514643
1836,289688,0.9503819747950789
1683,264105,0.9451612117631749
1530,273416,0.9451576939433608
1377,302305,0.9455062561284937
1224,321722,0.9453959960974679
1071,998295,0.9443219522602188
918,796027,0.926104436759558
765,596189,0.8997382103755761
612,422052,0.8577674340811816
459,259391,0.785870037152289
306,132955,0.6885775196337759
153,37968,0.5898251824917902
