Resolution,Bytes,FinalQuality
2448,193233,0.9548389426271038
2295,180709,0.9539658879049061
2142,173424,0.9541101266901576
1989,166362,0.9539767106384536
1836,158526,0.9541979547443722
1683,152450,0.9542495016761556
1530,147074,0.9528897612457138
1377,126642,0.9455466047324925
1224,122163,0.9450240949866581
1071,165089,0.9454583473747182
918,282992,0.9463716365894403
765,440729,0.9360004739728136
612,310044,0.9109888653659431
459,192673,0.8692765476574916
306,102153,0.8147241979478781
153,32987,0.7533610758901698
