Resolution,Bytes,FinalQuality
2448,214536,0.9537708542737515
2295,209559,0.9549111929697379
2142,196273,0.9533714159543538
1989,187248,0.9540907006653347
1836,181355,0.9547144456822637
1683,167323,0.953748872373586
1530,143795,0.9489182243924086
1377,126787,0.9450177485059212
1224,119238,0.9454656665304924
1071,133611,0.9455336968219485
918,168279,0.9458453605989465
765,296685,0.9453789404159476
612,342155,0.9315313979878385
459,203629,0.8990274577362485
306,99418,0.8539669084571299
153,27559,0.8028505807739188
