Resolution,Bytes,FinalQuality
2448,352003,0.9547828332070344
2295,356479,0.9546142236097339
2142,356590,0.9539841492538963
1989,367611,0.9538592542327219
1836,328580,0.946767741512227
1683,320982,0.9459979987845875
1530,327035,0.945286383987987
1377,344635,0.9450230228705043
1224,358174,0.9454107010792605
1071,1064990,0.9425644051965293
918,853281,0.9230329177188389
765,641555,0.8944959974463562
612,457763,0.8480320748647554
459,286219,0.7611248690873906
306,149451,0.6312962137836303
153,44004,0.4777541630455046
