Resolution,Bytes,FinalQuality
2448,293036,0.9530416672898824
2295,295442,0.9538602553332151
2142,303304,0.9548183993371833
1989,274199,0.9480770960803653
1836,259842,0.9460758130779343
1683,258510,0.9453604269857584
1530,265494,0.9457449656718433
1377,281017,0.9454671426409065
1224,296313,0.9455358555667406
1071,803626,0.9461982014630957
918,727870,0.9298134171488652
765,535200,0.9055744510442059
612,368856,0.8677771882863504
459,219110,0.8071588785482671
306,105369,0.7272726961999014
153,28925,0.6560860894864783
