Resolution,Bytes,FinalQuality
2448,133509,0.9530638342817758
2295,124317,0.9538836757663807
2142,111299,0.9539930012768366
1989,100067,0.9543324441875736
1836,89828,0.954685110076173
1683,81745,0.9549798483391211
1530,70597,0.9547577848449033
1377,63693,0.9545868270690933
1224,55031,0.9545683961403973
1071,45948,0.9519208519741461
918,36795,0.9477733318349421
765,31614,0.9454419322136315
612,40688,0.9453143045334556
459,127294,0.9419081892765504
306,65360,0.9211427166349065
153,20637,0.8935311834042078
