Resolution,Bytes,FinalQuality
2448,117645,0.9538503473733534
2295,105519,0.9530835708978781
2142,92945,0.9523209900062845
1989,83780,0.9545523002250903
1836,72546,0.9539938442771791
1683,63055,0.9532205901170557
1530,54737,0.9545902404263749
1377,46528,0.9536169904906157
1224,38228,0.9530452271984468
1071,32327,0.9547758670959953
918,27136,0.9548611887656451
765,22536,0.9549643298539102
612,21445,0.9548848779924572
459,16874,0.945170859491668
306,74992,0.9442069503300418
153,24599,0.914519280046086
