Resolution,Bytes,FinalQuality
2448,169384,0.9537593176589175
2295,154486,0.9506636996920036
2142,138019,0.9484705254792898
1989,131364,0.9547621451935266
1836,115754,0.9517978741316452
1683,108245,0.9548632807543737
1530,95080,0.9540620073685766
1377,88191,0.9543959490188259
1224,80276,0.9544858200866787
1071,72885,0.9456961207164403
918,79214,0.9450862193249977
765,124391,0.9451323509935925
612,240816,0.9289748814266611
459,151403,0.8883305735825684
306,79826,0.8244299641794307
153,24735,0.7431805833580208
