Resolution,Bytes,FinalQuality
2448,259775,0.9543760627892124
2295,250967,0.9535589384252265
2142,248273,0.9547191390302845
1989,241620,0.9543104579143588
1836,233803,0.953811115252554
1683,217590,0.9516315810197719
1530,194344,0.9463995856383816
1377,190940,0.945007750796321
1224,186024,0.9453458018749139
1071,286331,0.9457173424693213
918,721336,0.9422073378067733
765,545186,0.9216497616892034
612,390990,0.8885350605787716
459,244362,0.8288868826841432
306,125601,0.7433929698124772
153,36092,0.6425618632446808
