Resolution,Bytes,FinalQuality
2448,370976,0.9549725374057977
2295,386171,0.9547388675555106
2142,347841,0.9452681763627616
1989,360328,0.9456406466132936
1836,369742,0.9453224843232652
1683,391457,0.9454163609400995
1530,447015,0.9458707693153843
1377,530189,0.9459548093648107
1224,672519,0.946893290301927
1071,967849,0.9292049122867435
918,756164,0.9060361180960081
765,548916,0.8743523120134608
612,373159,0.8270066530890928
459,217993,0.7540310150500421
306,104001,0.6674476237036392
153,27445,0.5894120775850894
