Resolution,Bytes,FinalQuality
2448,239349,0.9540770421008729
2295,232977,0.9545417518265399
2142,226592,0.9546060489528629
1989,212419,0.9525444061564048
1836,186219,0.9476608097105451
1683,169986,0.9455991099820914
1530,167482,0.9460227241614088
1377,163897,0.9453436477455431
1224,159040,0.9457389945023323
1071,200908,0.9451743660081827
918,365425,0.9465124589760692
765,455354,0.9351097109185866
612,310239,0.9112825518388833
459,180865,0.8746935268679356
306,85610,0.8287287130323789
153,23167,0.7857804795336356
