Resolution,Bytes,FinalQuality
2448,181569,0.9486646885178313
2295,168315,0.9521710045711519
2142,160182,0.9546330050193703
1989,151708,0.9537336392329127
1836,137682,0.9533207396302721
1683,133454,0.9545903689027724
1530,118850,0.9544105978749234
1377,102253,0.9500945687236398
1224,83998,0.946419079122616
1071,84124,0.9450851354395667
918,97479,0.9454899286572738
765,191163,0.9458260305240501
612,259392,0.9310568359891646
459,155285,0.8985781052696171
306,76555,0.8519906764421898
153,22089,0.8040765633619839
