Resolution,Bytes,FinalQuality
2448,275956,0.9532798846743055
2295,280436,0.9549432437790473
2142,277349,0.954175536227302
1989,269348,0.9518607368023533
1836,237847,0.9458161211000059
1683,232351,0.9452191983297662
1530,230381,0.9451639618614316
1377,245710,0.9454638296744957
1224,246867,0.9457317181154039
1071,540486,0.9456741231798562
918,698266,0.9324418694967508
765,513739,0.9090389689024975
612,355031,0.8728999381351323
459,211294,0.8119171154569605
306,102198,0.7322943217408865
153,27847,0.6511844816321067
