Resolution,Bytes,FinalQuality
2448,240801,0.9541749339566146
2295,231290,0.9526851764474685
2142,227472,0.9533648321423936
1989,225264,0.9545248894000251
1836,216207,0.9536738410311176
1683,200171,0.9507511270549492
1530,177647,0.9453198994311617
1377,179824,0.9451681612962367
1224,176116,0.9453374077616091
1071,268604,0.9457802096419221
918,664543,0.9452095005632033
765,495087,0.9260561401512147
612,347319,0.8958318394349642
459,211981,0.8427547933914037
306,106188,0.7698861668002398
153,29665,0.694384747030275
