Resolution,Bytes,FinalQuality
2448,283884,0.9548747483739458
2295,283555,0.9539446218771732
2142,265858,0.9502488947932698
1989,243976,0.9457137439371013
1836,242631,0.9461877282098425
1683,239577,0.9459227891079584
1530,240281,0.9459376287417216
1377,248802,0.9459419951129394
1224,250149,0.9454084805074878
1071,471360,0.9469101029911106
918,613467,0.9368365989276237
765,445190,0.9156053060704347
612,302928,0.88332216906301
459,176602,0.830205823980626
306,86476,0.7592608961442047
153,25440,0.6836807443458242
