Resolution,Bytes,FinalQuality
2448,165074,0.9539522180700352
2295,153496,0.951773608547746
2142,143474,0.9543397566761589
1989,131122,0.9523570290763719
1836,122245,0.9541087914491337
1683,109946,0.953661504074087
1530,101649,0.9535519795977415
1377,99451,0.9548892361884478
1224,87841,0.953185977421766
1071,80275,0.9452431120893435
918,95251,0.9452302521567147
765,206411,0.9458852212092319
612,238667,0.9268482819133315
459,146030,0.8899542787879154
306,74207,0.836369044978278
153,21748,0.7746199235305957
