Resolution,Bytes,FinalQuality
2448,318348,0.953678997824145
2295,309778,0.9506036815101185
2142,289301,0.9456388752296055
1989,294317,0.9462842977778106
1836,286907,0.9450875422386168
1683,300541,0.946331968742374
1530,309943,0.9457625185849373
1377,342507,0.9459051860895137
1224,362083,0.9462072093933369
1071,814819,0.9428715887381314
918,630634,0.9251314479850158
765,454213,0.9009762643607887
612,304376,0.8664511123143787
459,175115,0.8153117998043247
306,83022,0.7538274441157404
153,22830,0.7051660318311024
