Resolution,Bytes,FinalQuality
2448,156789,0.9520084017695158
2295,145371,0.9528160115947893
2142,133065,0.9540116675380358
1989,121882,0.9533498877307365
1836,112101,0.954771470407129
1683,100815,0.9546603423635384
1530,90832,0.95466264856114
1377,84525,0.9549014260778019
1224,73054,0.9547374945896858
1071,70993,0.9514346166772547
918,66463,0.9456670089936763
765,132522,0.9450649803377809
612,239407,0.9274649654883058
459,142403,0.8886204470920206
306,69725,0.8331879663581638
153,18828,0.7756753517662712
