Resolution,Bytes,FinalQuality
2448,166973,0.9549365415786054
2295,151946,0.9518481008053455
2142,139388,0.9538708486163837
1989,129920,0.95449288128379
1836,116886,0.9540663364601367
1683,104199,0.9545274156607721
1530,93698,0.9537249959556258
1377,87170,0.9544673728365218
1224,78306,0.9544497535000889
1071,72584,0.9482427521289739
918,73783,0.9451294791366236
765,118329,0.9451970458944497
612,236379,0.9303963279250386
459,142880,0.8930503057888262
306,71111,0.8364159967535247
153,20629,0.7698388582597395
