Resolution,Bytes,FinalQuality
2448,185853,0.9546803824516842
2295,172949,0.954555623631203
2142,162021,0.9534743328272094
1989,152034,0.9549868401396284
1836,141718,0.954980323996769
1683,130236,0.9536139205506893
1530,124246,0.9545355198907906
1377,114930,0.9525219974666177
1224,96042,0.9476584369843438
1071,100878,0.9450255647376139
918,134478,0.94504584155887
765,392226,0.9437844677812786
612,276881,0.9209140901889891
459,170599,0.8812531169204846
306,85552,0.8258835793486182
153,24357,0.7648547848735175
