Resolution,Bytes,FinalQuality
2448,322780,0.9541242099766654
2295,306873,0.9495046415006566
2142,288592,0.9452304373897437
1989,292650,0.9470893535770697
1836,282398,0.9455849807097852
1683,287495,0.9462375601623043
1530,298187,0.946896461186071
1377,309801,0.9452210791114934
1224,327858,0.9451525198683186
1071,733720,0.9454504595953213
918,655281,0.9297711447007706
765,465026,0.9071858583514777
612,302891,0.8747778347367698
459,165848,0.8279241895412853
306,70906,0.7762308826072128
153,16707,0.740706068201553
