Resolution,Bytes,FinalQuality
2448,177038,0.9532408114312123
2295,170326,0.9543635686872195
2142,160599,0.9547735757453084
1989,150177,0.9534759766104605
1836,141303,0.9537806349240794
1683,132498,0.9537960958753303
1530,126777,0.9547063382062495
1377,122843,0.9539938656471803
1224,103350,0.9478274413109057
1071,121412,0.9456883255783339
918,195004,0.9456306075691995
765,362869,0.9330628007707984
612,251426,0.9035380309463502
459,150924,0.8483029282809271
306,74350,0.7679686244960894
153,20301,0.6908629851415333
