Resolution,Bytes,FinalQuality
2448,390500,0.9541241315314336
2295,407729,0.9549138103038322
2142,396985,0.9510818242029877
1989,376753,0.9456273348675637
1836,380837,0.9451479323301906
1683,390950,0.9451245302663156
1530,434799,0.9462772626545526
1377,496522,0.9457466670131586
1224,556742,0.9450479658447792
1071,1052406,0.9301041525213264
918,835495,0.9068090594030428
765,619678,0.8734498675179374
612,432319,0.8219090282003056
459,262580,0.7324516853392536
306,130011,0.6136688504458476
153,34972,0.49037031601504527
