Resolution,Bytes,FinalQuality
2448,330182,0.9545891117465566
2295,334847,0.9546974016288167
2142,343731,0.9549479328129127
1989,355963,0.9546835159682528
1836,323279,0.9483183701184881
1683,308655,0.9451897392003021
1530,329869,0.9453123274174304
1377,371100,0.9454294359749646
1224,412069,0.9452410751951194
1071,1043838,0.9337103341073716
918,827212,0.9113394404624554
765,618391,0.8793343485264429
612,432783,0.828764064329899
459,264631,0.7396198915848265
306,130282,0.6183996555596579
153,35221,0.48396371524200227
