Resolution,Bytes,FinalQuality
2448,151890,0.9537281761575532
2295,139850,0.9530216504163028
2142,127238,0.9540098305555812
1989,118813,0.954222945912008
1836,106193,0.9543982128487748
1683,95448,0.954092619421924
1530,87045,0.953796867815318
1377,80237,0.9540197659604333
1224,73703,0.9544837734048239
1071,62481,0.9481374682569506
918,59621,0.9452751038816278
765,71338,0.9452404953332967
612,151511,0.9452651228636341
459,157562,0.9242335579243025
306,80536,0.8879679643142251
153,25190,0.8426303790429891
