Resolution,Bytes,FinalQuality
2448,497023,0.9547165485729493
2295,498981,0.9491537763095119
2142,514858,0.9465637414125275
1989,552941,0.9457638793697946
1836,599137,0.9451170268426127
1683,739557,0.945364426500934
1530,1304352,0.9461372970026658
1377,1754499,0.9408639970556227
1224,1444491,0.9317306956993544
1071,1162062,0.8990505249785083
918,904261,0.8652675337757315
765,650973,0.8177725661216263
612,435016,0.749500168484166
459,249431,0.6481571750025896
306,115448,0.5410749809553518
153,29620,0.4495095320177842
