Resolution,Bytes,FinalQuality
2448,187932,0.9533462902916914
2295,180226,0.9547505796738867
2142,165865,0.9541155012339078
1989,156262,0.9542626237167865
1836,146880,0.9543990074113149
1683,135721,0.9542727126334344
1530,130601,0.954896620246403
1377,118625,0.9531421305457528
1224,99717,0.9492593276667878
1071,97177,0.9454863587478486
918,107849,0.9453081561475826
765,156012,0.9455610466035826
612,326648,0.9409665148347891
459,203572,0.9106453601756086
306,106876,0.8648195864772874
153,33147,0.8049516273914104
