Resolution,Bytes,FinalQuality
2448,159544,0.9542868524750426
2295,148323,0.9547912512427884
2142,135712,0.9545034100259295
1989,121661,0.9529446391296349
1836,108770,0.9544808972041575
1683,95656,0.9528614064477968
1530,85755,0.9541795847752257
1377,78731,0.9544594441889902
1224,68895,0.9546174678979337
1071,64586,0.9536766444431136
918,52510,0.947325990940586
765,49844,0.9450391158776935
612,78433,0.945102325148808
459,173023,0.9347514950105754
306,91260,0.8987660424361394
153,29737,0.8428054455396088
