Resolution,Bytes,FinalQuality
2448,128972,0.9540306963561261
2295,116301,0.952850435854789
2142,103047,0.9521091443836454
1989,93291,0.9549495346451768
1836,81523,0.9540074175949037
1683,71257,0.9533444265740582
1530,62464,0.9547243460222408
1377,53422,0.9531423453504667
1224,45540,0.9536638161709553
1071,39706,0.9542064395071044
918,35861,0.9545019102639876
765,34385,0.954889322557856
612,28210,0.9451924989418317
459,71570,0.9453273677684817
306,82645,0.9207143676551469
153,28503,0.8784324275465515
