Resolution,Bytes,FinalQuality
2448,260382,0.9534880873458825
2295,260596,0.9540573627207596
2142,261845,0.9547250144415863
1989,259851,0.9544920580681711
1836,228992,0.9492488994297846
1683,208127,0.9455682790852412
1530,207555,0.9456686274851326
1377,211477,0.9450668097613671
1224,214866,0.945629665222258
1071,379700,0.9452447637513278
918,692769,0.9383078382893952
765,511752,0.9170026498135866
612,356968,0.882973538866916
459,216810,0.8254310658163355
306,109786,0.7438450238965892
153,32625,0.6593774463231258
