Resolution,Bytes,FinalQuality
2448,267981,0.9531902599308477
2295,270971,0.9543438290826438
2142,242278,0.9482866216953282
1989,225960,0.9452810036441658
1836,221217,0.945974251545349
1683,214289,0.945082453045293
1530,215226,0.9454226135021223
1377,222051,0.9455919588385714
1224,228221,0.945641763614558
1071,328985,0.9462379703629922
918,530087,0.9462396547430147
765,449332,0.9310666054251424
612,306692,0.9075966707557701
459,183218,0.8716146941228016
306,91932,0.82490793770382
153,28484,0.7743203301275555
