Resolution,Bytes,FinalQuality
2448,116087,0.9498292571336572
2295,104031,0.9488950306416595
2142,91544,0.9478636263475608
1989,80786,0.9468941466214761
1836,71204,0.9538883148513501
1683,65725,0.9547204275908003
1530,55631,0.9530778740334047
1377,47132,0.9512418821163607
1224,40133,0.954630655236683
1071,34984,0.9545780702449859
918,30551,0.9543817917461052
765,27928,0.9538628174286662
612,22492,0.9451460978194182
459,40157,0.9451998711683819
306,62426,0.9302376735537435
153,19854,0.8975438701910897
